          10           0
   0.000000000000000        0.000000000000000       -0.148369099352862D-001
   0.641848939206886D-001   0.275980171530781D-003  -0.883711648184079D-002
   0.641848939206886D-001   0.275980171530781D-003  -0.883711648184079D-002
   0.697077322616325D-001  -0.892377937219520D-002   0.165823561997356D-002
   0.000000000000000       -0.100000000000000D-001   0.000000000000000     
   0.179003164046622D-001  -0.968277086128353D-002  -0.838108991446030D-002
   0.179003164046622D-001  -0.968277086128353D-002  -0.838108991446030D-002
   0.697077322616325D-001  -0.892377937219520D-002  -0.130042741393548D-001
   0.697077322616325D-001  -0.892377937219520D-002  -0.130042741393548D-001
   0.123778757680584       -0.802420926876397D-002  -0.957718672849382D-002
   0.123778757680584       -0.802420926876397D-002  -0.957718672849382D-002
   0.166117302781515       -0.810082500039315D-002  -0.103772499374910D-001
   0.179003164046622D-001  -0.968277086128353D-002  -0.838108991446030D-002
   0.177670283536077D-001  -0.735646592769502D-002  -0.581703985209909D-002
   0.697077322616325D-001  -0.892377937219520D-002  -0.130042741393548D-001
   0.695971006306125D-001  -0.124162415540080D-001  -0.109629627644752D-001
   0.123778757680584       -0.802420926876397D-002  -0.957718672849382D-002
   0.123696081219138       -0.145158116574392D-001  -0.102294682603040D-001
   0.166117302781515       -0.810082500039315D-002   0.286035537992859D-003
   0.166002303492616       -0.152391959258100D-001  -0.751625653869414D-002
   0.000000000000000        0.000000000000000       -0.375411570655334D-002
   0.177670283536077D-001  -0.735646592769502D-002  -0.581703985209909D-002
   0.177670283536077D-001  -0.735646592769502D-002  -0.581703985209909D-002
   0.695971006306125D-001  -0.124162415540080D-001  -0.109629627644752D-001
   0.695971006306125D-001  -0.124162415540080D-001  -0.109629627644752D-001
   0.123696081219138       -0.145158116574392D-001  -0.102294682603040D-001
   0.123696081219138       -0.145158116574392D-001  -0.102294682603040D-001
   0.166002303492616       -0.152391959258100D-001  -0.751625653869414D-002
   0.177670283536077D-001  -0.735646592769502D-002   0.168334981197516D-002
   0.185124737993151D-001  -0.163616051118454D-002  -0.561492704859422D-002
   0.000000000000000        0.000000000000000        0.000000000000000     
   0.185124737993151D-001  -0.163616051118454D-002  -0.561492704859422D-002
    5.51960343061561         7.19975214413447        0.260902410786912D-014
    5.51960343061561        -7.19975214413447         35.9987607206724     
   0.438619810048223        -6.17373653047904        -35.9987607206724     
   0.438619810048223         6.17373653047904       -0.230119742705703D-013
    7.93072846791182         3.20100911927315         37.8311054177724     
    7.93072846791182        -3.20100911927315        -25.0270689406798     
    18.9747872272082         25.4156842950192         68.1683094333927     
    18.9747872272082        -25.4156842950192         33.4944277466840     
    22.4892525857806         41.0540416091529         47.9231720942438     
    22.4892525857806        -9.05404160915292         52.2929943423679     
   -1.91539329072948         22.8334518502030         27.3338074008122     
   -1.91539329072948         9.16654814979696        0.319744231092045D-013
   -22.2146751757457         11.0440587592963        -43.1412404927131     
   -22.2146751757457         60.9559412407037        -106.594406951509     
   -18.4386051699970        -2.00513807204283        -81.4175998409279     
   -18.4386051699970         74.0051380720428        -146.613228591329     
   -13.7794102410484        -24.4046458765101        -79.6268017431801     
   -13.7794102410484         34.4046458765101        -96.8010735158807     
   -19.1665481497905         1.91539329072945        0.532907051820075D-014
   -19.1665481497905         18.0846067092706        -48.5076402556233     
   -183.911648192376        -3.86798277289829       -0.291711099720260D-013
   -183.911648192376         3.86798277289829        -15.4719310915931     
   -126.494390657824         51.3845635608460         122.066338043102     
   -126.494390657824        -51.3845635608460         83.4719162002817     
   -52.4892525857806         32.9459583908447         63.1413123910475     
   -52.4892525857806        -32.9459583908447         68.6425211723312     
   -18.0846067092705         19.1665481497932         28.1585523435494     
   -18.0846067092705        -19.1665481497932         48.5076402556233     
   -76.6568533836011         11.7226072227006        0.355271367880050D-014
   -76.6568533836011         40.2873918159458        -72.8261970212661     
   -54.5386837061514         67.2672215094915         128.975467507208     
   -54.5386837061514        -67.2672215094915         72.8261970212661     
